timestamp_ms,ax,ay,az,gx,gy,gz,label,segment_id,sample_index
1762636495403,-58,-5,1018,28,4,10,flick_left,8d5c3d8d,0
1762636495428,-64,0,1018,14,10,-3,flick_left,8d5c3d8d,1
1762636495433,-55,-2,1018,8,-15,34,flick_left,8d5c3d8d,2
1762636495530,-64,0,1018,14,10,-3,flick_left,8d5c3d8d,3
1762636495530,-55,-2,1018,8,-15,34,flick_left,8d5c3d8d,4
1762636495559,-61,0,1016,2,8,28,flick_left,8d5c3d8d,5
1762636495634,-61,0,1016,2,8,28,flick_left,8d5c3d8d,6
1762636495685,-60,4,1018,-61,30,-5,flick_left,8d5c3d8d,7
1762636495693,-62,6,1021,-103,11,-29,flick_left,8d5c3d8d,8
1762636495734,-60,4,1018,-61,30,-5,flick_left,8d5c3d8d,9
1762636495734,-62,6,1021,-103,11,-29,flick_left,8d5c3d8d,10
1762636495819,-61,-1,1014,0,2,8,flick_left,8d5c3d8d,11
1762636495829,-64,-4,1016,-2,-21,-2,flick_left,8d5c3d8d,12
1762636495939,-61,-1,1014,0,2,8,flick_left,8d5c3d8d,13
1762636495939,-64,-4,1016,-2,-21,-2,flick_left,8d5c3d8d,14
1762636495953,-67,-14,1024,41,0,628,flick_left,8d5c3d8d,15
1762636496044,-67,-14,1024,41,0,628,flick_left,8d5c3d8d,16
1762636496080,-57,0,1019,-229,5,57,flick_left,8d5c3d8d,17
1762636496088,-58,0,1017,-330,25,101,flick_left,8d5c3d8d,18
1762636496146,-57,0,1019,-229,5,57,flick_left,8d5c3d8d,19
1762636496146,-58,0,1017,-330,25,101,flick_left,8d5c3d8d,20
1762636496213,-53,-7,1005,258,13,-8,flick_left,8d5c3d8d,21
1762636496224,-62,-4,1014,48,17,-3,flick_left,8d5c3d8d,22
1762636496246,-53,-7,1005,258,13,-8,flick_left,8d5c3d8d,23
1762636496246,-62,-4,1014,48,17,-3,flick_left,8d5c3d8d,24
1762636496409,196,-168,910,-19329,-19779,-1843,flick_left,8d5c3d8d,25
1762636496410,41,-41,996,-17028,-19140,-1086,flick_left,8d5c3d8d,26
1762636496410,83,-114,1011,-13005,-20212,-512,flick_left,8d5c3d8d,27
1762636496410,131,-166,853,-6017,-20069,83,flick_left,8d5c3d8d,28
1762636496411,148,-193,623,312,-20435,1965,flick_left,8d5c3d8d,29
1762636496412,128,-141,1164,5446,-22046,4832,flick_left,8d5c3d8d,30
1762636496412,137,-128,923,9809,-22331,6101,flick_left,8d5c3d8d,31
1762636496416,194,-68,859,15684,-23432,6535,flick_left,8d5c3d8d,32
1762636496426,152,-53,1023,19637,-25006,5826,flick_left,8d5c3d8d,33
1762636496436,178,-59,917,22249,-26782,3491,flick_left,8d5c3d8d,34
1762636496451,162,-82,1056,21536,-25779,1350,flick_left,8d5c3d8d,35
1762636496452,196,-168,910,-19329,-19779,-1843,flick_left,8d5c3d8d,36
1762636496456,206,-80,1015,18200,-26034,-2397,flick_left,8d5c3d8d,37
1762636496461,41,-41,996,-17028,-19140,-1086,flick_left,8d5c3d8d,38
1762636496465,83,-114,1011,-13005,-20212,-512,flick_left,8d5c3d8d,39
1762636496466,251,-121,967,16101,-26562,-4399,flick_left,8d5c3d8d,40
1762636496476,255,-114,1020,16617,-29044,-5478,flick_left,8d5c3d8d,41
1762636496486,238,-89,1014,18735,-32153,-5960,flick_left,8d5c3d8d,42
1762636496496,351,-127,941,14362,-32768,-5615,flick_left,8d5c3d8d,43
1762636496506,396,59,1041,10544,-32768,-5289,flick_left,8d5c3d8d,44
1762636496516,587,99,1352,12793,-32768,-5588,flick_left,8d5c3d8d,45
1762636496527,454,111,1001,13254,-32768,-4508,flick_left,8d5c3d8d,46
1762636496536,490,125,794,12544,-32768,-4925,flick_left,8d5c3d8d,47
1762636496554,525,89,663,10611,-32768,-6125,flick_left,8d5c3d8d,48
1762636496560,131,-166,853,-6017,-20069,83,flick_left,8d5c3d8d,49
1762636496563,148,-193,623,312,-20435,1965,flick_left,8d5c3d8d,50
1762636496563,556,29,1112,9901,-32768,-5370,flick_left,8d5c3d8d,51
1762636496565,643,14,432,5298,-32768,-4090,flick_left,8d5c3d8d,52
1762636496576,630,50,876,2996,-32768,-1556,flick_left,8d5c3d8d,53
1762636496586,663,41,704,6066,-32768,-1498,flick_left,8d5c3d8d,54
1762636496596,637,32,703,7964,-31638,-2515,flick_left,8d5c3d8d,55
1762636496606,601,121,869,9086,-29431,-967,flick_left,8d5c3d8d,56
1762636496616,662,164,785,11406,-24383,-2580,flick_left,8d5c3d8d,57
1762636496626,685,133,888,13386,-16281,-3011,flick_left,8d5c3d8d,58
1762636496636,675,176,914,13912,-7145,-1657,flick_left,8d5c3d8d,59
1762636496646,701,153,746,11493,-1649,-1076,flick_left,8d5c3d8d,60
1762636496657,128,-141,1164,5446,-22046,4832,flick_left,8d5c3d8d,61
1762636496662,749,90,759,9064,1813,1203,flick_left,8d5c3d8d,62
1762636496663,137,-128,923,9809,-22331,6101,flick_left,8d5c3d8d,63
1762636496666,194,-68,859,15684,-23432,6535,flick_left,8d5c3d8d,64
1762636496666,725,67,739,5825,4385,3968,flick_left,8d5c3d8d,65
1762636496676,724,100,738,3724,7446,5489,flick_left,8d5c3d8d,66
1762636496687,712,75,740,2035,10297,6866,flick_left,8d5c3d8d,67
1762636496696,704,104,822,1774,13808,7271,flick_left,8d5c3d8d,68
1762636496706,697,166,871,2362,18162,6883,flick_left,8d5c3d8d,69
1762636496715,661,240,911,3206,24066,5310,flick_left,8d5c3d8d,70
1762636496726,620,206,912,2614,30514,3080,flick_left,8d5c3d8d,71
1762636496735,671,-11,620,-2646,30597,3958,flick_left,8d5c3d8d,72
1762636496746,616,-28,822,-8045,29604,6834,flick_left,8d5c3d8d,73
1762636496760,152,-53,1023,19637,-25006,5826,flick_left,8d5c3d8d,74
1762636496762,545,-9,863,-11782,32767,9068,flick_left,8d5c3d8d,75
1762636496767,550,35,836,-16672,32767,11292,flick_left,8d5c3d8d,76
1762636496770,178,-59,917,22249,-26782,3491,flick_left,8d5c3d8d,77
1762636496773,162,-82,1056,21536,-25779,1350,flick_left,8d5c3d8d,78
1762636496776,536,85,929,-19692,32767,11791,flick_left,8d5c3d8d,79
1762636496786,534,148,949,-21361,32767,10829,flick_left,8d5c3d8d,80
1762636496795,517,133,1036,-20874,32767,9860,flick_left,8d5c3d8d,81
1762636496807,547,171,836,-21985,32767,7655,flick_left,8d5c3d8d,82
1762636496815,479,148,906,-18293,32767,6367,flick_left,8d5c3d8d,83
1762636496826,420,119,961,-14269,32767,3790,flick_left,8d5c3d8d,84
1762636496835,294,-1,968,-10155,32767,1817,flick_left,8d5c3d8d,85
1762636496846,296,-5,978,-8002,32767,136,flick_left,8d5c3d8d,86
1762636496858,321,3,854,-6086,32767,-260,flick_left,8d5c3d8d,87
1762636496868,242,10,854,-4467,32767,-939,flick_left,8d5c3d8d,88
1762636496869,206,-80,1015,18200,-26034,-2397,flick_left,8d5c3d8d,89
1762636496872,251,-121,967,16101,-26562,-4399,flick_left,8d5c3d8d,90
1762636496876,187,-55,838,-4271,32767,-1573,flick_left,8d5c3d8d,91
1762636496885,162,-84,827,-2771,32767,-1173,flick_left,8d5c3d8d,92
1762636496895,152,-108,828,-1243,32767,-353,flick_left,8d5c3d8d,93
1762636496905,125,-109,831,-393,31758,674,flick_left,8d5c3d8d,94
1762636496916,82,-68,921,1391,28695,852,flick_left,8d5c3d8d,95
1762636496926,78,-48,904,3933,24588,439,flick_left,8d5c3d8d,96
1762636496964,255,-114,1020,16617,-29044,-5478,flick_left,8d5c3d8d,97
1762636496964,490,125,794,12544,-32768,-4925,flick_left,8d5c3d8d,98
1762636496970,525,89,663,10611,-32768,-6125,flick_left,8d5c3d8d,99
1762636496973,556,29,1112,9901,-32768,-5370,flick_left,8d5c3d8d,100
1762636497051,-220,16,869,-34,27480,1576,flick_left,8d5c3d8d,101
1762636497066,-260,38,915,-678,22570,2338,flick_left,8d5c3d8d,102
1762636497073,675,176,914,13912,-7145,-1657,flick_left,8d5c3d8d,103
1762636497073,-274,81,875,-1596,15869,1727,flick_left,8d5c3d8d,104
1762636497075,701,153,746,11493,-1649,-1076,flick_left,8d5c3d8d,105
1762636497080,-265,89,913,-2151,9799,1103,flick_left,8d5c3d8d,106
1762636497080,749,90,759,9064,1813,1203,flick_left,8d5c3d8d,107
1762636497090,-251,63,924,-2472,4616,820,flick_left,8d5c3d8d,108
1762636497100,-254,63,970,-3003,401,1144,flick_left,8d5c3d8d,109
1762636497110,-248,63,1047,-2732,-1032,1300,flick_left,8d5c3d8d,110
1762636497120,-259,43,1082,-3005,42,1136,flick_left,8d5c3d8d,111
1762636497129,-265,20,1052,-3829,1869,1231,flick_left,8d5c3d8d,112
1762636497141,-286,-1,1025,-3933,1842,788,flick_left,8d5c3d8d,113
1762636497150,-284,-5,989,-3924,1161,171,flick_left,8d5c3d8d,114
1762636497177,-275,-10,971,-3559,-389,-171,flick_left,8d5c3d8d,115
1762636497179,-266,14,955,-3049,-1844,-626,flick_left,8d5c3d8d,116
1762636497181,-261,-3,955,-2391,-3660,-713,flick_left,8d5c3d8d,117
1762636497189,-250,-26,962,-1318,-5522,303,flick_left,8d5c3d8d,118
1762636497200,-236,-3,986,-1072,-6779,930,flick_left,8d5c3d8d,119
1762636497210,-237,3,1004,-822,-6795,1364,flick_left,8d5c3d8d,120
1762636497220,-233,7,1027,-803,-6003,1655,flick_left,8d5c3d8d,121
1762636497232,-224,-11,1007,-693,-5559,1933,flick_left,8d5c3d8d,122
1762636497240,-222,-9,991,-742,-4661,1930,flick_left,8d5c3d8d,123
1762636497250,-217,-23,980,-1008,-3078,1813,flick_left,8d5c3d8d,124
1762636497260,-240,-11,926,-1084,-2322,1672,flick_left,8d5c3d8d,125
1762636497271,550,35,836,-16672,32767,11292,flick_left,8d5c3d8d,126
1762636497273,296,-5,978,-8002,32767,136,flick_left,8d5c3d8d,127
1762636497276,321,3,854,-6086,32767,-260,flick_left,8d5c3d8d,128
1762636497278,-222,-14,955,-1464,-2301,1834,flick_left,8d5c3d8d,129
1762636497280,-218,6,948,-1005,-2256,1634,flick_left,8d5c3d8d,130
1762636497289,-216,-4,951,637,-2627,1662,flick_left,8d5c3d8d,131
1762636497410,-227,3,947,2814,-4015,2025,flick_left,8d5c3d8d,132
1762636497411,-230,2,957,4704,-5934,2336,flick_left,8d5c3d8d,133
1762636497411,-213,0,975,5687,-7814,3339,flick_left,8d5c3d8d,134
1762636497412,-194,0,1028,5333,-9084,3866,flick_left,8d5c3d8d,135
1762636497412,-191,33,1041,6138,-9510,4527,flick_left,8d5c3d8d,136
1762636497413,-193,43,1073,6118,-9223,4724,flick_left,8d5c3d8d,137
1762636497413,-187,54,1051,5814,-8235,4903,flick_left,8d5c3d8d,138
1762636497414,-177,62,1027,3954,-7658,4303,flick_left,8d5c3d8d,139
1762636497414,242,10,854,-4467,32767,-939,flick_left,8d5c3d8d,140
1762636497414,-220,16,869,-34,27480,1576,flick_left,8d5c3d8d,141
1762636497415,-170,56,1000,2260,-6783,3529,flick_left,8d5c3d8d,142
1762636497415,-260,38,915,-678,22570,2338,flick_left,8d5c3d8d,143
1762636497416,-274,81,875,-1596,15869,1727,flick_left,8d5c3d8d,144
1762636497416,-155,31,971,1170,-6324,3286,flick_left,8d5c3d8d,145
1762636497416,-156,46,934,382,-6154,3268,flick_left,8d5c3d8d,146
1762636497418,-142,53,967,-278,-5733,3246,flick_left,8d5c3d8d,147
1762636497432,-141,65,992,-634,-3971,2767,flick_left,8d5c3d8d,148
1762636497432,-166,77,994,-958,-2173,2370,flick_left,8d5c3d8d,149
1762636497440,-168,61,1008,-1182,-892,1691,flick_left,8d5c3d8d,150
1762636497450,-167,64,1025,-1196,801,1094,flick_left,8d5c3d8d,151
1762636497459,-165,47,1023,-933,1967,432,flick_left,8d5c3d8d,152
1762636497473,-172,22,1026,-43,2640,396,flick_left,8d5c3d8d,153
1762636497483,-265,89,913,-2151,9799,1103,flick_left,8d5c3d8d,154
1762636497485,-170,38,1054,1283,3567,426,flick_left,8d5c3d8d,155
1762636497485,-251,63,924,-2472,4616,820,flick_left,8d5c3d8d,156
1762636497490,-158,68,1040,1359,4689,-136,flick_left,8d5c3d8d,157
1762636497500,-156,79,1065,971,6932,-864,flick_left,8d5c3d8d,158
1762636497510,-155,69,1033,-976,9807,-2122,flick_left,8d5c3d8d,159
1762636497520,-178,47,1037,-2139,10512,-2708,flick_left,8d5c3d8d,160
1762636497530,-181,30,965,-2255,9231,-2570,flick_left,8d5c3d8d,161
1762636497540,-187,14,925,-2544,6782,-2000,flick_left,8d5c3d8d,162
1762636497551,-190,14,950,-1555,4559,-1191,flick_left,8d5c3d8d,163
1762636497560,-199,12,943,324,2639,-324,flick_left,8d5c3d8d,164
1762636497570,-195,54,971,2005,973,-553,flick_left,8d5c3d8d,165
1762636497579,-254,63,970,-3003,401,1144,flick_left,8d5c3d8d,166
1762636497579,-284,-5,989,-3924,1161,171,flick_left,8d5c3d8d,167
1762636497583,-186,55,996,4078,617,-864,flick_left,8d5c3d8d,168
1762636497584,-275,-10,971,-3559,-389,-171,flick_left,8d5c3d8d,169
1762636497590,-266,14,955,-3049,-1844,-626,flick_left,8d5c3d8d,170
1762636497591,-187,41,1002,5712,1205,-641,flick_left,8d5c3d8d,171
1762636497600,-192,50,1010,6528,2428,-275,flick_left,8d5c3d8d,172
1762636497610,-203,65,999,6800,3677,-550,flick_left,8d5c3d8d,173
1762636497620,-202,53,984,6878,4802,-1090,flick_left,8d5c3d8d,174
