timestamp_ms,ax,ay,az,gx,gy,gz,label,segment_id,sample_index
1762637238750,-629,35,739,-151,-9464,-6679,flick_right,3e1a6a5a,0
1762637238751,-666,26,697,-2512,-858,-325,flick_right,3e1a6a5a,1
1762637238766,-629,35,739,-151,-9464,-6679,flick_right,3e1a6a5a,2
1762637238767,-644,-1,741,-784,-12406,-10681,flick_right,3e1a6a5a,3
1762637238771,-646,-11,788,-1484,-14925,-13108,flick_right,3e1a6a5a,4
1762637238772,-644,-1,741,-784,-12406,-10681,flick_right,3e1a6a5a,5
1762637238776,-646,-11,788,-1484,-14925,-13108,flick_right,3e1a6a5a,6
1762637238781,-527,-13,737,606,-19136,-14293,flick_right,3e1a6a5a,7
1762637238783,-527,-13,737,606,-19136,-14293,flick_right,3e1a6a5a,8
1762637238791,-482,-46,700,2942,-25737,-13580,flick_right,3e1a6a5a,9
1762637238793,-482,-46,700,2942,-25737,-13580,flick_right,3e1a6a5a,10
1762637238800,-502,-34,726,4057,-29824,-12899,flick_right,3e1a6a5a,11
1762637238803,-502,-34,726,4057,-29824,-12899,flick_right,3e1a6a5a,12
1762637238811,-685,-97,880,4141,-29295,-13174,flick_right,3e1a6a5a,13
1762637238813,-685,-97,880,4141,-29295,-13174,flick_right,3e1a6a5a,14
1762637238821,-647,-49,822,5394,-30148,-14002,flick_right,3e1a6a5a,15
1762637238823,-647,-49,822,5394,-30148,-14002,flick_right,3e1a6a5a,16
1762637238831,-601,-23,811,5890,-32768,-15583,flick_right,3e1a6a5a,17
1762637238834,-601,-23,811,5890,-32768,-15583,flick_right,3e1a6a5a,18
1762637238840,-544,6,793,5319,-32768,-17305,flick_right,3e1a6a5a,19
1762637238853,-474,-23,845,4257,-32768,-17971,flick_right,3e1a6a5a,20
1762637238853,-544,6,793,5319,-32768,-17305,flick_right,3e1a6a5a,21
1762637238855,-474,-23,845,4257,-32768,-17971,flick_right,3e1a6a5a,22
1762637238861,-391,-72,802,3980,-32768,-15811,flick_right,3e1a6a5a,23
1762637238867,-391,-72,802,3980,-32768,-15811,flick_right,3e1a6a5a,24
1762637238871,-376,-108,800,8759,-32768,-9199,flick_right,3e1a6a5a,25
1762637238874,-376,-108,800,8759,-32768,-9199,flick_right,3e1a6a5a,26
1762637238881,-359,-115,786,15938,-32768,-6276,flick_right,3e1a6a5a,27
1762637238883,-359,-115,786,15938,-32768,-6276,flick_right,3e1a6a5a,28
1762637238891,-296,-108,964,19869,-32768,-3870,flick_right,3e1a6a5a,29
1762637238893,-296,-108,964,19869,-32768,-3870,flick_right,3e1a6a5a,30
1762637238901,-298,-145,1027,26328,-32768,97,flick_right,3e1a6a5a,31
1762637238903,-298,-145,1027,26328,-32768,97,flick_right,3e1a6a5a,32
1762637238910,-280,105,1332,32767,-32768,3489,flick_right,3e1a6a5a,33
1762637238913,-280,105,1332,32767,-32768,3489,flick_right,3e1a6a5a,34
1762637238921,-168,-133,950,32767,-32768,7755,flick_right,3e1a6a5a,35
1762637238923,-168,-133,950,32767,-32768,7755,flick_right,3e1a6a5a,36
1762637238935,-44,-55,880,32767,-32768,7025,flick_right,3e1a6a5a,37
1762637238942,-51,-88,885,32767,-32768,6596,flick_right,3e1a6a5a,38
1762637238942,-44,-55,880,32767,-32768,7025,flick_right,3e1a6a5a,39
1762637238944,-51,-88,885,32767,-32768,6596,flick_right,3e1a6a5a,40
1762637238951,-88,59,1012,32767,-32768,6863,flick_right,3e1a6a5a,41
1762637239060,-88,59,1012,32767,-32768,6863,flick_right,3e1a6a5a,42
1762637239060,-118,221,974,32767,-32768,7752,flick_right,3e1a6a5a,43
1762637239061,-118,221,974,32767,-32768,7752,flick_right,3e1a6a5a,44
1762637239061,-58,209,780,32767,-32768,10394,flick_right,3e1a6a5a,45
1762637239062,-58,209,780,32767,-32768,10394,flick_right,3e1a6a5a,46
1762637239062,127,-15,549,32767,-32768,16920,flick_right,3e1a6a5a,47
1762637239063,127,-15,549,32767,-32768,16920,flick_right,3e1a6a5a,48
1762637239063,470,-98,1713,32767,-32768,19965,flick_right,3e1a6a5a,49
1762637239064,470,-98,1713,32767,-32768,19965,flick_right,3e1a6a5a,50
1762637239064,-291,1239,1312,4324,-32768,20010,flick_right,3e1a6a5a,51
1762637239065,-291,1239,1312,4324,-32768,20010,flick_right,3e1a6a5a,52
1762637239066,-250,685,1250,-16758,-32768,9846,flick_right,3e1a6a5a,53
1762637239066,-250,685,1250,-16758,-32768,9846,flick_right,3e1a6a5a,54
1762637239067,-69,393,848,-18133,-32768,9423,flick_right,3e1a6a5a,55
1762637239068,-69,393,848,-18133,-32768,9423,flick_right,3e1a6a5a,56
1762637239068,145,104,843,-14848,-32768,13370,flick_right,3e1a6a5a,57
1762637239069,145,104,843,-14848,-32768,13370,flick_right,3e1a6a5a,58
1762637239069,247,51,979,-11609,-32768,15232,flick_right,3e1a6a5a,59
1762637239071,247,51,979,-11609,-32768,15232,flick_right,3e1a6a5a,60
1762637239072,223,183,1035,-7446,-32768,14205,flick_right,3e1a6a5a,61
1762637239072,223,183,1035,-7446,-32768,14205,flick_right,3e1a6a5a,62
1762637239082,191,259,1033,-6019,-32768,12448,flick_right,3e1a6a5a,63
1762637239083,191,259,1033,-6019,-32768,12448,flick_right,3e1a6a5a,64
1762637239083,221,299,1048,-10729,-30200,11190,flick_right,3e1a6a5a,65
1762637239084,221,299,1048,-10729,-30200,11190,flick_right,3e1a6a5a,66
1762637239084,210,262,1123,-22211,-21118,6469,flick_right,3e1a6a5a,67
1762637239084,210,262,1123,-22211,-21118,6469,flick_right,3e1a6a5a,68
1762637239090,287,294,973,-22881,-13933,6300,flick_right,3e1a6a5a,69
1762637239093,287,294,973,-22881,-13933,6300,flick_right,3e1a6a5a,70
1762637239101,295,304,890,-19393,-10514,6597,flick_right,3e1a6a5a,71
1762637239103,295,304,890,-19393,-10514,6597,flick_right,3e1a6a5a,72
1762637239111,345,313,929,-18825,-5817,3822,flick_right,3e1a6a5a,73
1762637239114,345,313,929,-18825,-5817,3822,flick_right,3e1a6a5a,74
1762637239121,346,265,1001,-20176,-50,3642,flick_right,3e1a6a5a,75
1762637239124,346,265,1001,-20176,-50,3642,flick_right,3e1a6a5a,76
1762637239131,326,295,1090,-26167,4918,2991,flick_right,3e1a6a5a,77
1762637239133,326,295,1090,-26167,4918,2991,flick_right,3e1a6a5a,78
1762637239140,353,206,1028,-30950,8298,2008,flick_right,3e1a6a5a,79
1762637239143,353,206,1028,-30950,8298,2008,flick_right,3e1a6a5a,80
1762637239151,337,95,1027,-32768,9965,1840,flick_right,3e1a6a5a,81
1762637239153,337,95,1027,-32768,9965,1840,flick_right,3e1a6a5a,82
1762637239161,343,100,1006,-32153,9843,1066,flick_right,3e1a6a5a,83
1762637239169,343,100,1006,-32153,9843,1066,flick_right,3e1a6a5a,84
1762637239173,340,53,1002,-28338,9091,-350,flick_right,3e1a6a5a,85
1762637239177,340,53,1002,-28338,9091,-350,flick_right,3e1a6a5a,86
1762637239180,339,13,942,-24545,8643,-942,flick_right,3e1a6a5a,87
1762637239183,339,13,942,-24545,8643,-942,flick_right,3e1a6a5a,88
1762637239191,337,4,947,-21962,8510,-962,flick_right,3e1a6a5a,89
1762637239193,337,4,947,-21962,8510,-962,flick_right,3e1a6a5a,90
1762637239201,322,0,970,-20113,9639,-1457,flick_right,3e1a6a5a,91
1762637239206,322,0,970,-20113,9639,-1457,flick_right,3e1a6a5a,92
1762637239211,308,-12,974,-18684,10605,-1112,flick_right,3e1a6a5a,93
1762637239213,308,-12,974,-18684,10605,-1112,flick_right,3e1a6a5a,94
1762637239221,299,6,963,-18034,11729,-1498,flick_right,3e1a6a5a,95
1762637239223,299,6,963,-18034,11729,-1498,flick_right,3e1a6a5a,96
1762637239231,301,-17,965,-16878,11738,-1970,flick_right,3e1a6a5a,97
1762637239233,301,-17,965,-16878,11738,-1970,flick_right,3e1a6a5a,98
1762637239241,296,-34,964,-16716,11388,-1997,flick_right,3e1a6a5a,99
1762637239244,296,-34,964,-16716,11388,-1997,flick_right,3e1a6a5a,100
1762637239250,294,-31,926,-14663,9917,-1999,flick_right,3e1a6a5a,101
1762637239253,294,-31,926,-14663,9917,-1999,flick_right,3e1a6a5a,102
1762637239261,278,-47,942,-11613,6813,-1666,flick_right,3e1a6a5a,103
1762637239264,278,-47,942,-11613,6813,-1666,flick_right,3e1a6a5a,104
1762637239272,268,-64,967,-8319,5141,-1941,flick_right,3e1a6a5a,105
1762637239278,268,-64,967,-8319,5141,-1941,flick_right,3e1a6a5a,106
1762637239281,243,-68,1018,-7136,5735,-3099,flick_right,3e1a6a5a,107
1762637239284,243,-68,1018,-7136,5735,-3099,flick_right,3e1a6a5a,108
1762637239291,250,-104,968,-7199,5350,-4716,flick_right,3e1a6a5a,109
1762637239293,250,-104,968,-7199,5350,-4716,flick_right,3e1a6a5a,110
1762637239300,273,-161,906,-6376,1842,-4496,flick_right,3e1a6a5a,111
1762637239303,273,-161,906,-6376,1842,-4496,flick_right,3e1a6a5a,112
1762637239311,244,-140,932,-2481,-2444,-2712,flick_right,3e1a6a5a,113
1762637239314,244,-140,932,-2481,-2444,-2712,flick_right,3e1a6a5a,114
1762637239321,245,-115,952,390,-4501,-1921,flick_right,3e1a6a5a,115
1762637239324,245,-115,952,390,-4501,-1921,flick_right,3e1a6a5a,116
1762637239331,258,-102,945,1435,-6708,-1220,flick_right,3e1a6a5a,117
1762637239333,258,-102,945,1435,-6708,-1220,flick_right,3e1a6a5a,118
1762637239341,264,-87,987,925,-8678,-1133,flick_right,3e1a6a5a,119
1762637239344,264,-87,987,925,-8678,-1133,flick_right,3e1a6a5a,120
1762637239350,306,-43,975,-368,-11038,-2165,flick_right,3e1a6a5a,121
1762637239353,306,-43,975,-368,-11038,-2165,flick_right,3e1a6a5a,122
1762637239360,330,-36,980,-851,-13985,-4652,flick_right,3e1a6a5a,123
1762637239364,330,-36,980,-851,-13985,-4652,flick_right,3e1a6a5a,124
1762637239372,347,-91,928,96,-17002,-6377,flick_right,3e1a6a5a,125
1762637239376,347,-91,928,96,-17002,-6377,flick_right,3e1a6a5a,126
1762637239381,339,-112,876,3435,-21079,-6557,flick_right,3e1a6a5a,127
1762637239386,339,-112,876,3435,-21079,-6557,flick_right,3e1a6a5a,128
1762637239390,343,-121,904,6817,-26049,-6472,flick_right,3e1a6a5a,129
1762637239393,343,-121,904,6817,-26049,-6472,flick_right,3e1a6a5a,130
1762637239401,374,-71,981,6819,-28151,-6632,flick_right,3e1a6a5a,131
1762637239403,374,-71,981,6819,-28151,-6632,flick_right,3e1a6a5a,132
1762637239410,394,-52,996,6203,-28157,-7125,flick_right,3e1a6a5a,133
1762637239413,394,-52,996,6203,-28157,-7125,flick_right,3e1a6a5a,134
1762637239420,424,-108,950,7562,-29321,-6948,flick_right,3e1a6a5a,135
1762637239423,424,-108,950,7562,-29321,-6948,flick_right,3e1a6a5a,136
1762637239430,466,-124,924,8924,-31853,-5460,flick_right,3e1a6a5a,137
1762637239433,466,-124,924,8924,-31853,-5460,flick_right,3e1a6a5a,138
1762637239441,466,-82,914,8245,-32768,-5070,flick_right,3e1a6a5a,139
1762637239444,466,-82,914,8245,-32768,-5070,flick_right,3e1a6a5a,140
1762637239451,455,-48,881,7215,-32768,-5887,flick_right,3e1a6a5a,141
1762637239454,455,-48,881,7215,-32768,-5887,flick_right,3e1a6a5a,142
1762637239461,508,-51,874,8267,-32768,-4544,flick_right,3e1a6a5a,143
1762637239464,508,-51,874,8267,-32768,-4544,flick_right,3e1a6a5a,144
1762637239474,551,-12,833,9199,-32185,-2908,flick_right,3e1a6a5a,145
1762637239478,551,-12,833,9199,-32185,-2908,flick_right,3e1a6a5a,146
1762637239482,545,-45,898,7499,-28431,-3136,flick_right,3e1a6a5a,147
1762637239485,545,-45,898,7499,-28431,-3136,flick_right,3e1a6a5a,148
1762637239490,607,-14,924,5819,-22540,-2061,flick_right,3e1a6a5a,149
1762637239494,607,-14,924,5819,-22540,-2061,flick_right,3e1a6a5a,150
1762637239500,601,-47,929,3712,-16760,-2026,flick_right,3e1a6a5a,151
1762637239504,601,-47,929,3712,-16760,-2026,flick_right,3e1a6a5a,152
1762637239511,563,-18,921,95,-12157,-515,flick_right,3e1a6a5a,153
1762637239514,563,-18,921,95,-12157,-515,flick_right,3e1a6a5a,154
1762637239520,589,83,883,-4093,-8670,58,flick_right,3e1a6a5a,155
1762637239524,589,83,883,-4093,-8670,58,flick_right,3e1a6a5a,156
1762637239531,545,39,894,-7263,-5058,455,flick_right,3e1a6a5a,157
1762637239534,545,39,894,-7263,-5058,455,flick_right,3e1a6a5a,158
1762637239541,562,1,892,-6961,-2716,952,flick_right,3e1a6a5a,159
1762637239544,562,1,892,-6961,-2716,952,flick_right,3e1a6a5a,160
1762637239551,587,-22,913,-5655,-989,756,flick_right,3e1a6a5a,161
1762637239555,587,-22,913,-5655,-989,756,flick_right,3e1a6a5a,162
1762637239560,609,-16,926,-5722,3605,1205,flick_right,3e1a6a5a,163
1762637239563,609,-16,926,-5722,3605,1205,flick_right,3e1a6a5a,164
1762637239571,610,-28,950,-5571,9071,1289,flick_right,3e1a6a5a,165
1762637239579,610,-28,950,-5571,9071,1289,flick_right,3e1a6a5a,166
1762637239583,611,-80,940,-4973,13701,1729,flick_right,3e1a6a5a,167
1762637239586,611,-80,940,-4973,13701,1729,flick_right,3e1a6a5a,168
1762637239591,607,-63,971,-4596,20016,2399,flick_right,3e1a6a5a,169
1762637239594,607,-63,971,-4596,20016,2399,flick_right,3e1a6a5a,170
1762637239601,622,-20,965,-6496,29323,3707,flick_right,3e1a6a5a,171
1762637239603,622,-20,965,-6496,29323,3707,flick_right,3e1a6a5a,172
1762637239612,567,-37,916,-8605,32767,4721,flick_right,3e1a6a5a,173
1762637239615,567,-37,916,-8605,32767,4721,flick_right,3e1a6a5a,174
1762637239621,532,-52,926,-11127,32767,6874,flick_right,3e1a6a5a,175
1762637239624,532,-52,926,-11127,32767,6874,flick_right,3e1a6a5a,176
1762637239631,474,-38,963,-13880,32767,8617,flick_right,3e1a6a5a,177
1762637239634,474,-38,963,-13880,32767,8617,flick_right,3e1a6a5a,178
1762637239641,428,-60,939,-15449,32767,10523,flick_right,3e1a6a5a,179
1762637239643,428,-60,939,-15449,32767,10523,flick_right,3e1a6a5a,180
1762637239652,397,-69,965,-14903,32767,12745,flick_right,3e1a6a5a,181
1762637239656,397,-69,965,-14903,32767,12745,flick_right,3e1a6a5a,182
1762637239661,385,-140,968,-9887,32767,14313,flick_right,3e1a6a5a,183
1762637239664,385,-140,968,-9887,32767,14313,flick_right,3e1a6a5a,184
1762637239671,394,-132,901,-2083,32767,13370,flick_right,3e1a6a5a,185
1762637239673,394,-132,901,-2083,32767,13370,flick_right,3e1a6a5a,186
1762637239685,340,-170,808,-3309,32767,12207,flick_right,3e1a6a5a,187
1762637239690,340,-170,808,-3309,32767,12207,flick_right,3e1a6a5a,188
1762637239691,259,-153,902,-3260,32767,13396,flick_right,3e1a6a5a,189
1762637239695,259,-153,902,-3260,32767,13396,flick_right,3e1a6a5a,190
1762637239701,222,-154,992,-1755,32767,13904,flick_right,3e1a6a5a,191
1762637239703,222,-154,992,-1755,32767,13904,flick_right,3e1a6a5a,192
1762637239711,157,-155,957,1457,32767,14087,flick_right,3e1a6a5a,193
1762637239713,157,-155,957,1457,32767,14087,flick_right,3e1a6a5a,194
1762637239721,135,-153,925,2852,32767,14865,flick_right,3e1a6a5a,195
1762637239723,135,-153,925,2852,32767,14865,flick_right,3e1a6a5a,196
1762637239730,104,-142,987,3084,32767,13907,flick_right,3e1a6a5a,197
1762637239733,104,-142,987,3084,32767,13907,flick_right,3e1a6a5a,198
1762637239742,41,-165,956,3585,32767,13691,flick_right,3e1a6a5a,199
